Game_Type,Board_Size,Game_ID,Player_1_Strategy,Player_2_Strategy,Winner,Total_Moves,Avg_UCT_Entropy,Avg_TS_Entropy,Avg_UCT_Time,Avg_TS_Time
HexState,11,341,UCT,Thompson,UCT,49,4.505602015788081,4.43333588833445,30.672195892333985,29.70189403494199
HexState,11,342,Thompson,UCT,Thompson,43,4.54854898204798,4.331200460742802,32.93056746891567,32.056398218328304
HexState,11,343,UCT,Thompson,Thompson,46,4.531255227661917,4.266837232870604,27.325591222099636,27.24285987149114
HexState,11,344,Thompson,UCT,Thompson,43,4.54753282926656,4.294698766488736,31.70600435847328,31.148355180566963
HexState,11,345,UCT,Thompson,Thompson,42,4.550301009460547,4.3739872561305315,36.73333063579741,36.49730107897804
HexState,11,346,Thompson,UCT,UCT,56,4.453125537773855,4.348049474324047,34.70988808359419,35.09751864842006
HexState,11,347,UCT,Thompson,UCT,49,4.5206459081119945,4.476534817601728,27.25446096420288,26.875662684440613
HexState,11,348,Thompson,UCT,Thompson,31,4.6054493891242885,4.366219774017905,31.777742290496825,30.938627660274506
HexState,11,349,UCT,Thompson,Thompson,62,4.431618332875929,4.168181011221264,29.764521268106275,28.740152812773182
HexState,11,350,Thompson,UCT,Thompson,57,4.457330660201994,4.204371187796522,27.040976660592214,26.452901215388856
