Game_Type,Board_Size,Game_ID,Player_1_Strategy,Player_2_Strategy,Winner,Total_Moves,Avg_UCT_Entropy,Avg_TS_Entropy,Avg_UCT_Time,Avg_TS_Time
GomokuState,15,21,UCT,Thompson,UCT,21,5.242491495446156,5.220606922689811,37.97656581618569,37.712256693840025
GomokuState,15,22,Thompson,UCT,Thompson,29,5.294343906789065,4.962854831372042,37.43377961431231,34.93104367256164
GomokuState,15,23,UCT,Thompson,Thompson,12,5.339197342765296,4.660174498139315,40.21885585784912,33.91885141531626
GomokuState,15,24,Thompson,UCT,Thompson,15,5.3303242214258635,4.720163213360841,39.05293958527701,35.298676669597626
GomokuState,15,25,UCT,Thompson,Thompson,14,5.333754761979132,4.657302332968589,40.738410813467844,35.088724170412334
GomokuState,15,26,Thompson,UCT,UCT,32,5.28403227022384,5.212118468121904,36.04785859584808,35.48592312633991
GomokuState,15,27,UCT,Thompson,Thompson,34,5.284621796625011,4.946170181152756,37.55782162441927,34.759120492374194
GomokuState,15,28,Thompson,UCT,Thompson,19,5.321247191855468,4.881401110915633,38.816871060265434,35.57445769309997
GomokuState,15,29,UCT,Thompson,UCT,31,5.286630723491634,5.229069802005919,36.535777777433395,35.36455539067586
GomokuState,15,30,Thompson,UCT,Thompson,31,5.29015688982793,4.945841924643529,37.88637979825338,35.05755949020386
