Game_Type,Board_Size,Game_ID,Player_1_Strategy,Player_2_Strategy,Winner,Total_Moves,Avg_UCT_Entropy,Avg_TS_Entropy,Avg_UCT_Time,Avg_TS_Time
HexState,11,11,UCT,Thompson,UCT,31,4.603466638485123,4.522412794895566,60.17713838815689,58.56690073013306
HexState,11,12,Thompson,UCT,UCT,44,4.529425951502484,4.438607382622976,56.529983618042685,56.73221184990623
HexState,11,13,UCT,Thompson,UCT,33,4.591642405626369,4.516194468727069,62.582585643319526,62.48248189687729
HexState,11,14,Thompson,UCT,UCT,32,4.595162379001478,4.517305387604931,56.97463522851467,56.48289975523949
HexState,11,15,UCT,Thompson,UCT,41,4.542321740783571,4.4140457457503945,68.1432995682671,66.46348439455032
HexState,11,16,Thompson,UCT,UCT,38,4.556488334579966,4.480694470203034,58.566447596800955,58.317288536774484
HexState,11,17,UCT,Thompson,Thompson,34,4.597860969805986,4.231332241658534,61.214790666804596,58.35022163391113
HexState,11,18,Thompson,UCT,Thompson,35,4.588813968003077,4.218125096720427,55.60666312890894,54.21636717849307
HexState,11,19,UCT,Thompson,UCT,49,4.50152472368482,4.39533098823177,61.20071026802063,61.245241890350975
HexState,11,1,UCT,Thompson,UCT,43,4.540197903237211,4.438882654113861,67.47742712497711,66.67104314622425
HexState,11,2,Thompson,UCT,Thompson,37,4.571930089026564,4.037107838810517,64.0045434501436,61.5948814216413
HexState,11,3,UCT,Thompson,UCT,49,4.5052515952431875,4.436741542733725,51.16247200012207,49.812189827362694
HexState,11,4,Thompson,UCT,UCT,40,4.542607251113756,4.475465017489677,57.825586116313936,57.55000048875809
HexState,11,5,UCT,Thompson,UCT,53,4.4632179160169265,4.377879491484566,64.51086507903204,62.915003162163956
HexState,11,6,Thompson,UCT,Thompson,43,4.543331013752287,4.192012682872401,71.04233339854649,69.55127745324916
HexState,11,7,UCT,Thompson,Thompson,48,4.516349720039797,4.0670840597726245,78.2000770966212,76.43596672018369
HexState,11,21,UCT,Thompson,Thompson,34,4.603345051853784,4.27551804663109,62.23265562337988,60.49904324026669
HexState,11,22,Thompson,UCT,Thompson,39,4.5652731677118865,4.223559906069644,60.87597747852928,60.08987953662872
HexState,11,23,UCT,Thompson,Thompson,38,4.574996461792144,4.0864859701028,69.23767321988156,66.85792328182019
HexState,11,24,Thompson,UCT,Thompson,33,4.60302892219152,4.213321341534076,63.778972417116165,61.22840539146872
HexState,11,25,UCT,Thompson,UCT,45,4.5344479220383365,4.440577270610162,54.462338779283606,53.28191349723122
HexState,11,26,Thompson,UCT,UCT,46,4.502906733714126,4.405001618743676,62.342539320821345,62.10928758330967
HexState,11,27,UCT,Thompson,Thompson,42,4.550093933368105,4.197439131697656,65.40133089110965,61.22328134945461
HexState,11,28,Thompson,UCT,Thompson,35,4.587217402546907,4.190476380731393,64.45351906383739,63.71708261966705
HexState,11,29,UCT,Thompson,Thompson,30,4.616875858392253,4.064263596348528,62.8886479695638,60.10929516156514
HexState,11,31,UCT,Thompson,UCT,45,4.524455328077861,4.409277603214726,70.79836629784626,70.80024924061514
HexState,11,32,Thompson,UCT,UCT,32,4.586610059210502,4.473291289729168,71.4118031412363,71.35738223791122
HexState,11,33,UCT,Thompson,UCT,41,4.532080820064052,4.446314473661817,72.62981916609264,71.5329850077629
HexState,11,34,Thompson,UCT,UCT,50,4.46736529659604,4.383171669418478,63.73707107543945,64.00740964889526
HexState,11,35,UCT,Thompson,Thompson,36,4.591807203296512,4.17828346369115,57.84893951151106,56.6468931833903
HexState,11,36,Thompson,UCT,UCT,56,4.461614443670372,4.374619171215682,61.3758145400456,61.52679974692209
HexState,11,37,UCT,Thompson,UCT,35,4.573259923710375,4.466110480255105,56.83337130811479,55.682864890379065
HexState,11,38,Thompson,UCT,Thompson,31,4.611468827741613,4.252188711963605,55.92663788795471,55.02781540155411
HexState,11,41,UCT,Thompson,UCT,29,4.618974275087094,4.535540743561947,58.82516096433004,56.51558477537973
HexState,11,42,Thompson,UCT,Thompson,37,4.574142969520647,4.1037342035413715,60.42225322458479,58.790380026164804
HexState,11,43,UCT,Thompson,UCT,39,4.5650593027044994,4.492732001942757,66.55547838211059,65.87797049472206
HexState,11,44,Thompson,UCT,Thompson,37,4.582327589904385,4.285903978904422,49.84653141763475,49.6226334195388
HexState,11,45,UCT,Thompson,Thompson,42,4.5542857647415,4.162620992655481,67.77597397849674,64.25418480237325
HexState,11,46,Thompson,UCT,Thompson,57,4.450389202883751,4.0093311967399865,67.62518843582698,66.04297092865254
HexState,11,47,UCT,Thompson,Thompson,40,4.5640948900282785,4.216595398235123,62.31931136846542,60.284900104999544
HexState,11,48,Thompson,UCT,Thompson,51,4.4928864396045665,4.0614273445036595,57.411410036087034,55.79276667191432
HexState,11,51,UCT,Thompson,UCT,43,4.53704493925673,4.439616186011015,65.00253412940286,64.10638458388192
HexState,11,52,Thompson,UCT,UCT,28,4.6148440394402925,4.535321508636319,63.42319970471518,62.67852749143328
HexState,11,53,UCT,Thompson,Thompson,54,4.485724846709129,4.124281668192791,56.09368820543642,54.22471730797379
HexState,11,54,Thompson,UCT,Thompson,41,4.557356142396122,4.240889198493288,63.51212137937546,62.238814842133294
HexState,11,55,UCT,Thompson,Thompson,52,4.4999431689761655,4.12177023155996,56.22828181890341,53.77163084653708
HexState,11,56,Thompson,UCT,Thompson,41,4.548507970460834,4.157211108386984,62.6963250875473,60.580543177468435
HexState,11,57,UCT,Thompson,Thompson,56,4.458081532953685,4.06816853746654,65.20712929112571,62.02979316881725
HexState,11,61,UCT,Thompson,UCT,55,4.464614705014752,4.344494702631157,65.37038479532514,65.40242497126262
HexState,11,62,Thompson,UCT,Thompson,65,4.400658820738687,3.9625209308355145,51.46508605033159,50.919062318223894
HexState,11,63,UCT,Thompson,UCT,33,4.595861620750602,4.5198722733993595,58.79533691967235,56.74921025335789
HexState,11,64,Thompson,UCT,Thompson,57,4.458421382298876,4.127137297629183,63.55282805647169,61.45004862752454
HexState,11,65,UCT,Thompson,Thompson,34,4.601577524585797,4.295459514201831,64.09529207734501,62.17263915959526
HexState,11,66,Thompson,UCT,Thompson,33,4.5998928867582425,4.308455466778106,69.81677436828613,68.28393400416655
HexState,11,67,UCT,Thompson,Thompson,30,4.613085066907778,4.118047883019711,61.74606456756592,58.31580317815145
HexState,11,68,Thompson,UCT,Thompson,39,4.577775306153253,4.20216825729242,64.66324511327241,63.44644505977631
HexState,11,71,UCT,Thompson,Thompson,32,4.606979188201768,4.158994915761368,66.13145664334297,63.82745212316513
HexState,11,72,Thompson,UCT,UCT,56,4.453315370840913,4.34638903330745,60.87259215116501,60.019110798835754
HexState,11,73,UCT,Thompson,UCT,49,4.493019610336616,4.390160800529304,60.99577618598938,61.23492693901062
HexState,11,74,Thompson,UCT,Thompson,25,4.637774987795383,4.110413881979732,73.16690826416016,70.47464629319998
HexState,11,75,UCT,Thompson,UCT,51,4.402685217047445,4.353950943627902,55.14931361491863,54.86437802314758
HexState,11,76,Thompson,UCT,UCT,46,4.523728920208168,4.452684977377705,66.23605688758518,66.32810643444891
HexState,11,77,UCT,Thompson,Thompson,40,4.561890297058326,4.099383200586279,66.22592742443085,63.133271396160126
HexState,11,78,Thompson,UCT,Thompson,35,4.5870583539173,4.296331171397774,55.73375989409054,54.84569001197815
