Game_Type,Board_Size,Game_ID,Player_1_Strategy,Player_2_Strategy,Winner,Total_Moves,Avg_UCT_Entropy,Avg_TS_Entropy,Avg_UCT_Time,Avg_TS_Time
GomokuState,15,271,UCT,Thompson,Thompson,74,5.18320509374898,5.139496257817749,1.255010108690004,1.223604730657629
GomokuState,15,272,Thompson,UCT,Thompson,73,5.16976741612502,5.151334937247702,1.2566114001803927,1.2568737107354242
GomokuState,15,273,UCT,Thompson,Thompson,56,5.233111690749294,5.2039015430357045,1.4204896943909782,1.3730425664356776
GomokuState,15,274,Thompson,UCT,Thompson,73,5.183205093748979,5.145162077616704,1.298194991217719,1.2781723834372856
GomokuState,15,275,UCT,Thompson,Thompson,70,5.1910545865084305,5.155019638211986,1.3307559490203857,1.2945439406803676
GomokuState,15,276,Thompson,UCT,Thompson,79,5.150779646399215,5.130181094736167,1.2536093821892371,1.243112999200821
GomokuState,15,277,UCT,Thompson,Thompson,70,5.187478272822036,5.157721524411459,1.3297981875283378,1.3111083984375
GomokuState,15,278,Thompson,UCT,Thompson,73,5.172307450116698,5.150432271525188,1.373301174905565,1.3506392208305564
GomokuState,15,279,UCT,Thompson,Thompson,84,5.14620051142086,5.103870690514248,1.2786096788588024,1.2468144042151315
GomokuState,15,280,Thompson,UCT,Thompson,47,5.254928401818506,5.239245635351051,1.4502057925514553,1.448977102835973
