Game_Type,Board_Size,Game_ID,Player_1_Strategy,Player_2_Strategy,Winner,Total_Moves,Avg_UCT_Entropy,Avg_TS_Entropy,Avg_UCT_Time,Avg_TS_Time
GomokuState,15,11,UCT,Thompson,UCT,21,5.313130662492761,5.240811972401682,34.59535613926974,33.49941005706787
GomokuState,15,12,Thompson,UCT,Thompson,21,5.314320272265684,4.8470497691542285,34.684279799461365,31.603091630068693
GomokuState,15,13,UCT,Thompson,UCT,33,5.255520138154263,5.191788969901678,32.30620392631082,31.498396441340446
GomokuState,15,14,Thompson,UCT,Thompson,27,5.300246613570185,4.892122654776833,33.462710692332344,30.817123242786952
GomokuState,15,15,UCT,Thompson,Thompson,28,5.302677923461283,4.928092428820281,33.59146525178637,30.827798860413687
GomokuState,15,16,Thompson,UCT,UCT,22,5.305326370367049,5.233608814894293,33.82656942714345,33.20134308121421
GomokuState,15,17,UCT,Thompson,Thompson,24,5.312217734026509,4.86944045298018,35.50382488965988,31.94543941815694
GomokuState,15,18,Thompson,UCT,Thompson,25,5.305113433579227,4.947191858091353,34.090848525365196,31.28719603098356
GomokuState,15,19,UCT,Thompson,UCT,17,5.3235471572562485,5.2504277513468995,36.11597598923577,34.710161954164505
GomokuState,15,20,Thompson,UCT,Thompson,33,5.2868146396045175,4.987859772326208,34.42141544818878,32.34850415061502
GomokuState,15,1,UCT,Thompson,UCT,15,5.326164857999948,5.258169996668485,34.59104770421982,33.45041922160557
GomokuState,15,2,Thompson,UCT,UCT,24,5.302292179057188,5.226825135551027,32.99174694220225,32.360560297966
GomokuState,15,3,UCT,Thompson,UCT,27,5.296363970638085,5.2098961238087185,32.76527089732034,31.68969365266653
GomokuState,15,4,Thompson,UCT,Thompson,19,5.317518075329638,4.811189845472905,34.6860777537028,31.1791784286499
GomokuState,15,5,UCT,Thompson,Thompson,24,5.306549537338555,4.925946518809961,32.930987079938255,29.926894942919414
GomokuState,15,6,Thompson,UCT,Thompson,25,5.306470838009921,4.934965772594635,32.787981033325195,30.473988973177395
GomokuState,15,7,UCT,Thompson,UCT,27,5.297292050452356,5.227981296099068,32.47995606490544,31.36203309205862
GomokuState,15,8,Thompson,UCT,UCT,36,5.272941139724525,5.194935969568455,31.216076095898945,30.564241727193195
GomokuState,15,9,UCT,Thompson,Thompson,18,5.322732270871515,4.798231903917765,33.603791024949814,29.59870637787713
GomokuState,15,10,Thompson,UCT,Thompson,27,5.303513100818392,4.901937317676577,31.873352380899284,29.49885482447488
GomokuState,15,21,UCT,Thompson,UCT,21,5.242491495446156,5.220606922689811,37.97656581618569,37.712256693840025
GomokuState,15,22,Thompson,UCT,Thompson,29,5.294343906789065,4.962854831372042,37.43377961431231,34.93104367256164
GomokuState,15,23,UCT,Thompson,Thompson,12,5.339197342765296,4.660174498139315,40.21885585784912,33.91885141531626
GomokuState,15,24,Thompson,UCT,Thompson,15,5.3303242214258635,4.720163213360841,39.05293958527701,35.298676669597626
GomokuState,15,25,UCT,Thompson,Thompson,14,5.333754761979132,4.657302332968589,40.738410813467844,35.088724170412334
