Game_Type,Board_Size,Game_ID,Player_1_Strategy,Player_2_Strategy,Winner,Total_Moves,Avg_UCT_Entropy,Avg_TS_Entropy,Avg_UCT_Time,Avg_TS_Time
GomokuState,15,91,UCT,Thompson,Thompson,26,5.3053431809057745,4.941137874842344,33.461818108191856,30.51936021217933
GomokuState,15,92,Thompson,UCT,Thompson,21,5.313387049574115,4.909209159101257,34.109043097496034,31.243436900052156
GomokuState,15,93,UCT,Thompson,UCT,17,5.326691166128701,5.259805926612259,34.52196139759488,33.30896246433258
GomokuState,15,94,Thompson,UCT,Thompson,29,5.2950371721171905,4.913248220799118,33.12115822519575,30.597543573379518
GomokuState,15,95,UCT,Thompson,Thompson,20,5.31790455678759,4.815214255306248,33.73733098506928,29.99745237827301
GomokuState,15,96,Thompson,UCT,Thompson,19,5.320459455047994,4.883243821713841,33.03648302290175,30.190155267715454
GomokuState,15,97,UCT,Thompson,UCT,19,5.317387654434716,5.246445043799627,33.159770703315736,32.02763952149285
GomokuState,15,98,Thompson,UCT,Thompson,13,5.337694919362236,4.644818658861604,32.94443674882253,28.99809752191816
GomokuState,15,99,UCT,Thompson,Thompson,16,5.33019209183537,4.723166642924506,33.39442536234856,29.16693416237831
GomokuState,15,100,Thompson,UCT,Thompson,15,5.3306986787249215,4.738738260755657,33.26547026634216,29.530970066785812
