Game_Type,Board_Size,Game_ID,Player_1_Strategy,Player_2_Strategy,Winner,Total_Moves,Avg_UCT_Entropy,Avg_TS_Entropy,Avg_Hybrid_Entropy,Avg_UCT_Time,Avg_TS_Time,Avg_Hybrid_Time
HexState,11,1,Hybrid,Thompson,Thompson,44,0,4.274147739868896,4.540519223186791,0,35.9205018715425,36.69202125072479
HexState,11,2,Thompson,Hybrid,Thompson,67,0,4.158329832583465,4.394033006893838,0,27.566966456525467,27.681625908071343
HexState,11,3,Hybrid,Thompson,Thompson,46,0,4.275567534382128,4.527922396650871,0,31.111804371294767,31.84393370669821
HexState,11,4,Thompson,Hybrid,Hybrid,46,0,4.461907712989248,4.526311108535592,0,27.12656597469164,27.364711948063064
HexState,11,5,Hybrid,Thompson,Hybrid,37,0,4.494335872913148,4.569235824860629,0,34.57838751210107,34.94275478312844
HexState,11,6,Thompson,Hybrid,Hybrid,52,0,4.37945814518264,4.479495944428971,0,32.42821915333088,32.664699169305656
HexState,11,7,Hybrid,Thompson,Hybrid,51,0,4.417515052059623,4.487796965344826,0,36.18373941421509,37.00699510024144
HexState,11,8,Thompson,Hybrid,Hybrid,42,0,4.469731144115055,4.542747119472797,0,35.400165887106034,35.47067977133251
HexState,11,9,Hybrid,Thompson,Hybrid,51,0,4.4057166636687874,4.484508020482437,0,33.76648274421692,34.026293672048126
HexState,11,10,Thompson,Hybrid,Thompson,35,0,4.297618936632734,4.583910854480146,0,33.559311509132385,34.84891703549553
HexState,11,11,Hybrid,Thompson,Hybrid,49,0,4.452969563525724,4.506666681612103,0,25.79017424583435,26.117007751464843
HexState,11,12,Thompson,Hybrid,Thompson,35,0,4.308676044043823,4.584998852117159,0,32.94720992777083,34.389098714379706
HexState,11,13,Hybrid,Thompson,Hybrid,45,0,4.466989118793858,4.5291057429940045,0,31.19488900358027,32.05153205083764
HexState,11,14,Thompson,Hybrid,Thompson,53,0,4.209050167734872,4.485196633921029,0,30.511048767301773,31.321023124914905
