Game_Type,Board_Size,Game_ID,Player_1_Strategy,Player_2_Strategy,Winner,Total_Moves,Avg_UCT_Entropy,Avg_TS_Entropy,Avg_Hybrid_Entropy,Avg_UCT_Time,Avg_TS_Time,Avg_Hybrid_Time
HexState,11,31,Hybrid,Thompson,Thompson,50,0,4.248151537080583,4.508199535900683,0,51.58575959205628,39.96179272651673
HexState,11,32,Thompson,Hybrid,Hybrid,60,0,4.331946360948166,4.426042737505155,0,32.598312107721966,32.38407940069835
HexState,11,33,Hybrid,Thompson,Thompson,54,0,4.252062477917248,4.482046735076765,0,32.58984786492807,33.380329820844864
HexState,11,34,Thompson,Hybrid,Thompson,41,0,4.322022530704596,4.549368786350771,0,38.5500229653858,39.31439694166183
HexState,11,35,Hybrid,Thompson,Thompson,50,0,4.253651990285462,4.502405335858662,0,39.85102023124695,41.24832803726196
HexState,11,36,Thompson,Hybrid,Hybrid,44,0,4.477165088538219,4.534143461234403,0,28.487677975134417,28.81912489370866
HexState,11,37,Hybrid,Thompson,Hybrid,63,0,4.353224207407248,4.420905314481939,0,36.41482948487805,37.124363131821156
HexState,11,38,Thompson,Hybrid,Thompson,67,0,4.1596734498205095,4.3917684846317355,0,32.88756620883942,34.191778594797306
HexState,11,39,Hybrid,Thompson,Thompson,42,0,4.322582596653484,4.55304298546816,0,35.40575656436739,36.599023648670745
HexState,11,40,Thompson,Hybrid,Thompson,33,0,4.3970157403696115,4.6033852588140745,0,39.27946850832771,39.516038700938225
