Game_Type,Board_Size,Game_ID,Player_1_Strategy,Player_2_Strategy,Winner,Total_Moves,Avg_UCT_Entropy,Avg_TS_Entropy,Avg_UCT_Time,Avg_TS_Time
GomokuState,15,241,UCT,Thompson,Thompson,90,5.123108338240146,5.07998518569195,1.093420558505588,1.073599116007487
GomokuState,15,242,Thompson,UCT,Thompson,65,5.201330630412722,5.175085882402128,1.2835331484675407,1.2596141352798
GomokuState,15,243,UCT,Thompson,Thompson,62,5.207314979686639,5.184961458602237,1.3136987301611132,1.289683472725653
GomokuState,15,244,Thompson,UCT,Thompson,81,5.158146519180358,5.115815608692766,1.1461474895477295,1.142431270785448
GomokuState,15,245,UCT,Thompson,Thompson,44,5.264860578997947,5.242710945815654,1.4543372717770664,1.425522197376598
GomokuState,15,246,Thompson,UCT,UCT,84,5.131051633726996,5.114954086142647,1.1663669007165092,1.172288451875959
GomokuState,15,247,UCT,Thompson,Thompson,68,5.193173902843596,5.161600182990368,1.2984941987430347,1.266196426223306
GomokuState,15,248,Thompson,UCT,Thompson,61,5.21431339942163,5.189654159779935,1.324783984820048,1.319546607232863
GomokuState,15,249,UCT,Thompson,Thompson,62,5.207355327558488,5.185285991180721,1.2846125325848978,1.259486852153655
GomokuState,15,250,Thompson,UCT,Thompson,73,5.170017342855962,5.147814100153619,1.2466142376263936,1.2416188716888428
