Game_Type,Board_Size,Game_ID,Player_1_Strategy,Player_2_Strategy,Winner,Total_Moves,Avg_UCT_Entropy,Avg_TS_Entropy,Avg_UCT_Time,Avg_TS_Time
HexState,11,101,UCT,Thompson,UCT,93,4.183963789331677,4.056274331975478,2.7767001669457616,2.7805995215540347
HexState,11,102,Thompson,UCT,Thompson,63,4.435848604436976,4.258975192744652,2.3489520165228073,2.3418899849057198
HexState,11,103,UCT,Thompson,Thompson,88,4.247518378828871,4.039167704321911,2.271795771338723,2.2333826151761142
HexState,11,104,Thompson,UCT,UCT,92,4.20790838886065,4.125838446276359,2.9066259446351426,2.9046098926792974
HexState,11,105,UCT,Thompson,Thompson,80,4.312687838182846,4.163373603116115,2.69871985912323,2.6641968131065368
HexState,11,106,Thompson,UCT,Thompson,79,4.312719501585054,4.158594508710541,2.9271633197099733,2.8736210584640505
HexState,11,107,UCT,Thompson,Thompson,76,4.348939269177046,4.133541413986973,2.63080716760535,2.587480011739229
HexState,11,108,Thompson,UCT,UCT,74,4.335733185042701,4.2331089641167745,3.0965906284950875,3.07987059129251
HexState,11,109,UCT,Thompson,Thompson,82,4.28908115090011,4.125029397754953,2.793863686119638,2.737978615411898
HexState,11,110,Thompson,UCT,UCT,80,4.299065888567864,4.208083657755521,2.994195061922073,2.988901436328888
HexState,11,111,UCT,Thompson,Thompson,80,4.304207340826446,4.10352544390126,3.2917766630649568,3.253905546665192
HexState,11,112,Thompson,UCT,UCT,88,4.218680125179781,4.144027841173505,2.4758155941963196,2.473328162323345
HexState,11,113,UCT,Thompson,Thompson,62,4.435828807588241,4.27140060217741,2.920622779477027,2.887377446697604
HexState,11,114,Thompson,UCT,Thompson,75,4.335845666058795,4.185273437239964,2.5380134711394438,2.537247212309586
HexState,11,115,UCT,Thompson,Thompson,76,4.3442675352120945,4.155040844278865,2.753836569033171,2.729787983392414
HexState,11,116,Thompson,UCT,Thompson,57,4.463530079974506,4.293349087474169,3.131853401660919,3.113515985423121
HexState,11,117,UCT,Thompson,Thompson,72,4.367308484756295,4.1709380988086435,2.7704961564805775,2.733940554989709
HexState,11,118,Thompson,UCT,Thompson,83,4.282221624551945,4.144862320098447,3.1917837015012416,3.125198937597729
HexState,11,119,UCT,Thompson,Thompson,66,4.405731170700249,4.26521413771621,3.169054472085201,3.1182586279782383
HexState,11,120,Thompson,UCT,UCT,86,4.242722832418545,4.109637524712737,3.483173215112021,3.5295241488966833
HexState,11,11,UCT,Thompson,Thompson,62,4.433024424757881,4.243318263399588,3.29242157167004,3.2610993231496503
HexState,11,12,Thompson,UCT,UCT,84,4.264416944892297,4.176403899120911,2.721128543217977,2.749194610686529
HexState,11,13,UCT,Thompson,Thompson,74,4.350606368402981,4.175151928183173,3.0514351419500403,3.0053680394146896
HexState,11,14,Thompson,UCT,Thompson,63,4.425073414053455,4.247400010381258,2.816799194582047,2.7931622713804245
HexState,11,15,UCT,Thompson,Thompson,72,4.359629807990185,4.167324865750853,3.1893670823838978,3.1412172582414417
HexState,11,16,Thompson,UCT,Thompson,79,4.312648014798635,4.121631290997877,2.8374791878920336,2.817331826686859
HexState,11,17,UCT,Thompson,Thompson,86,4.263475612286355,4.062823637818873,3.0385415886723717,2.971577217412549
HexState,11,18,Thompson,UCT,Thompson,77,4.328054086043568,4.153241379290975,3.094301794704638,3.0885205329992833
HexState,11,19,UCT,Thompson,Thompson,76,4.330782331164575,4.158828452570205,2.7320772597664282,2.6838530427531193
HexState,11,20,Thompson,UCT,Thompson,95,4.175326785495202,3.9964871922688467,2.165260355523292,2.159635459383329
HexState,11,121,UCT,Thompson,UCT,87,4.242274040678414,4.141583674842245,2.9924168424172835,2.953375306240348
HexState,11,122,Thompson,UCT,Thompson,67,4.400444676177262,4.2113273822984505,3.0753390500039766,3.0525973263908837
HexState,11,123,UCT,Thompson,Thompson,82,4.295854416181302,4.100484908318143,2.8546584582910306,2.83630257118039
HexState,11,124,Thompson,UCT,Thompson,89,4.228673492972409,4.087366285750065,2.779366498643702,2.7665892124176024
HexState,11,125,UCT,Thompson,Thompson,78,4.3224155805075775,4.170238506464164,3.440920279576228,3.3851960316682472
HexState,11,126,Thompson,UCT,UCT,84,4.264619818026668,4.127278640667367,2.8407321827752248,2.8590675649188815
HexState,11,127,UCT,Thompson,Thompson,76,4.342206271628853,4.1321697797088595,2.5818057248466895,2.5562457850104883
HexState,11,128,Thompson,UCT,Thompson,77,4.315909032792522,4.146145022523846,3.4165632724761963,3.3815377064240284
HexState,11,129,UCT,Thompson,Thompson,82,4.287972375289478,4.109645866052336,3.079138505749586,3.041512774258125
HexState,11,130,Thompson,UCT,Thompson,73,4.360302738926887,4.221052717795449,3.3465944396124945,3.3420199703525855
HexState,11,131,UCT,Thompson,Thompson,90,4.217916796900572,4.102616035305326,2.899370463689168,2.810432932111952
HexState,11,132,Thompson,UCT,Thompson,81,4.296579564522775,4.105936994598796,2.777754682302475,2.787486361294258
HexState,11,133,UCT,Thompson,UCT,89,4.214958819066393,4.057714906388792,2.9413398371802435,2.94411977854642
HexState,11,134,Thompson,UCT,UCT,72,4.361141620915812,4.253258042155283,2.7255244652430215,2.744206680191888
HexState,11,135,UCT,Thompson,Thompson,86,4.256055968530612,4.0421377269630945,2.7461109993069672,2.653212874434715
HexState,11,136,Thompson,UCT,Thompson,75,4.3460613967797705,4.171309489592068,2.909410914859256,2.843873293776261
HexState,11,137,UCT,Thompson,Thompson,82,4.295795560682072,4.090859904935507,2.666033913449543,2.6226889796373323
HexState,11,138,Thompson,UCT,Thompson,67,4.412111413269986,4.247344019871844,3.437701637094671,3.410879696116728
HexState,11,139,UCT,Thompson,Thompson,86,4.251931552447896,4.099963910222784,2.8638203088627305,2.8186555906783703
HexState,11,140,Thompson,UCT,UCT,94,4.175186347354472,4.054868373518097,2.371658330268048,2.3785571798365166
HexState,11,141,UCT,Thompson,Thompson,82,4.288853012702016,4.122691014038521,2.5828468566987572,2.5069085504950546
HexState,11,142,Thompson,UCT,UCT,70,4.3663239831042295,4.23729898157489,3.130924688066755,3.1314685208456856
HexState,11,143,UCT,Thompson,UCT,99,4.115829452055324,3.9957915199771934,3.1020240783691406,3.0954352592935366
HexState,11,144,Thompson,UCT,UCT,86,4.245364020642534,4.100594282054012,2.9063516716624416,2.955660492874855
HexState,11,145,UCT,Thompson,Thompson,80,4.29704649349514,4.153731625841532,2.7273352324962614,2.665172839164734
HexState,11,146,Thompson,UCT,Thompson,75,4.341242955758881,4.166866822724745,3.2559388972617485,3.2384882537942183
HexState,11,147,UCT,Thompson,Thompson,74,4.347008132611182,4.1581841460516165,3.0410746239327096,2.985399091565931
HexState,11,148,Thompson,UCT,Thompson,77,4.330201560882983,4.15899751380948,3.295730007322211,3.308529474796393
